PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,County
T2M_MAX,2000,30.02,32.38,31.9,31.1,28.84,28.08,26.02,27.33,26.16,27.08,27.54,28.51,32.38,BARINGO
T2M_MAX,2001,29.05,30.9,30.94,30.33,27.89,25.7,25.09,26.19,26.71,28.21,25.25,27.65,30.94,BARINGO
T2M_MAX,2002,28.51,31.08,30.98,31.13,26.16,27.12,27.49,26.93,30.65,28.6,27.75,28.12,31.13,BARINGO
T2M_MAX,2003,29.45,31.25,32.1,31.62,24.94,24.73,23.78,24.19,26.25,27.38,26.87,27.34,32.1,BARINGO
T2M_MAX,2004,29.13,30.77,31.97,28.73,26.62,26.55,26.98,27.36,29.05,30.18,26.73,27.92,31.97,BARINGO
T2M_MAX,2005,29.88,34.26,31.69,32.6,27.47,25.62,26.14,25.87,28.94,29.96,28.51,29.27,34.26,BARINGO
T2M_MAX,2006,31.44,32.02,31.13,29.92,28.3,27.73,27.35,26.8,28.4,29.1,25.05,24.46,32.02,BARINGO
T2M_MAX,2007,27.12,29.22,30.35,30.83,26.68,24.62,24.62,25.07,25.71,26.32,27.15,27.65,30.83,BARINGO
T2M_MAX,2008,29.51,30.31,31.24,29.22,27.53,26.13,26.19,26.87,28.87,27.47,27.23,27.51,31.24,BARINGO
T2M_MAX,2009,28.71,30.9,32.47,29.97,28.48,27.8,28.12,28.18,30.31,28.34,28.26,28.37,32.47,BARINGO
T2M_MAX,2010,27.93,29.69,27.92,27.39,26.34,24.43,24.71,24.71,25.43,26.2,26.95,28.01,29.69,BARINGO
T2M_MAX,2011,30.16,31.73,31.34,30.74,25.69,25.08,25.23,25.06,25.97,26.7,23.85,24.21,31.73,BARINGO
T2M_MAX,2012,27.24,30.19,31.37,28.99,24.62,24.08,23.53,24.65,25.25,25.49,24.82,24.59,31.37,BARINGO
T2M_MAX,2013,26.92,29.69,30.86,25.39,25.34,24.74,24.44,24.1,25.73,26.36,26.33,27.12,30.86,BARINGO
T2M_MAX,2014,29.87,29.88,31.07,30.33,29.67,26.39,26.23,26.08,28.28,28.59,26.88,27.28,31.07,BARINGO
T2M_MAX,2015,29.65,31.18,32.19,29.43,25.8,24.76,24.63,25.94,28.3,28.49,25.85,24.91,32.19,BARINGO
T2M_MAX,2016,25.98,30.07,31.61,28.91,25.16,25.08,24.03,24.52,25.61,27.56,27.64,27.34,31.61,BARINGO
T2M_MAX,2017,29.98,30.69,31.31,31.42,26.48,25.87,24.92,25.16,25.44,25.94,24.71,26.5,31.42,BARINGO
T2M_MAX,2018,28.74,30.76,28.61,26.75,24.82,23.86,23.31,24.31,25.55,25.37,25.46,26.87,30.76,BARINGO
T2M_MAX,2019,28.94,30.59,32.34,32.71,29.52,26.3,24.38,25.64,26.89,26.93,25.2,24.69,32.71,BARINGO
